Bases	Contigs	Depth	N50
67123501	5	12.58	5015636
67188105	5	12.59	5015636
67220960	5	12.60	5015636
67329632	5	12.62	5015636
67397137	5	12.63	5015636
67479700	5	12.65	5015636
67565832	5	12.66	5015636
67689305	5	12.69	5015636
67754907	5	12.70	5015636
67858606	5	12.72	5015636
67905676	5	12.73	5015636
68038005	5	12.75	5015636
68151784	5	12.77	5015636
68241181	5	12.79	5015636
68409376	5	12.82	5015636
68470804	5	12.83	5015636
68581448	5	12.85	5015636
68626561	5	12.86	5015636
68731195	5	12.88	5015636
68833092	5	12.90	5015636
68907710	5	12.91	5015636
69042610	5	12.94	5015636
69065274	5	12.94	5015636
69272723	5	12.98	5015636
69391758	5	13.00	5015636
69558649	5	13.04	5015636
69685414	5	13.06	5015636
69792661	5	13.08	5015636
69830003	5	13.09	5015636
69873454	5	13.09	5015636
69901713	5	13.10	5015636
69970285	5	13.11	5015636
70015151	5	13.12	5015636
70150265	5	13.15	5015636
70194566	5	13.15	5015636
70253512	5	13.17	5015636
70409659	5	13.20	5015636
70474729	5	13.21	5015636
70611883	5	13.23	5015636
70711706	5	13.25	5015636
70768520	5	13.26	5015636
70894812	5	13.29	5015636
71016287	5	13.31	5015636
71091035	5	13.32	5015636
71168273	5	13.34	5015636
71277350	5	13.36	5015636
71374991	5	13.38	5015636
71491420	5	13.40	5015636
71550424	5	13.41	5015636
71711532	5	13.44	5015636
71807365	5	13.46	5015636
71926446	5	13.48	5015636
72082190	5	13.51	5015636
72094219	5	13.51	5015636
72185457	5	13.53	5015636
72309028	5	13.55	5015636
72353639	5	13.56	5015636
72538407	5	13.59	5015636
72668500	5	13.62	5015636
72835312	5	13.65	5015636
72909197	5	13.66	5015636
72925779	5	13.67	5015636
73048681	5	13.69	5015636
73083271	5	13.70	5015636
73221026	5	13.72	5015636
73285741	5	13.73	5015636
73464661	5	13.77	5015636
73597698	5	13.79	5015636
73726173	5	13.82	5015636
73890684	5	13.85	5015636
73987772	5	13.87	5015636
74123650	5	13.89	5015636
74212617	5	13.91	5015636
74388145	5	13.94	5015636
74516617	5	13.96	5015636
74671032	5	13.99	5015636
74810864	5	14.02	5015636
74884735	5	14.03	5015636
74986891	5	14.05	5015636
75145712	5	14.08	5015636
75313206	5	14.11	5015636
75398539	5	14.13	5015636
75450390	5	14.14	5015636
75479524	5	14.15	5015636
75648245	5	14.18	5015636
75716136	5	14.19	5015636
75867302	5	14.22	5015636
76032632	5	14.25	5015636
76100535	5	14.26	5015636
76193105	5	14.28	5015636
76302336	5	14.30	5015636
76372510	5	14.31	5015636
76462552	5	14.33	5015636
76518648	5	14.34	5015636
76639106	5	14.36	5015636
76775302	5	14.39	5015636
76959020	5	14.42	5015636
