Genome,Method,Bases,Contigs,Depth,N50
citrobacter-freundii_CAV1741,npScarf,24888349,6,4.66,3768213
citrobacter-freundii_CAV1741,npScarf,25021631,6,4.69,3768213
citrobacter-freundii_CAV1741,npScarf,25097149,6,4.7,3768213
citrobacter-freundii_CAV1741,npScarf,25162193,6,4.72,3768213
citrobacter-freundii_CAV1741,npScarf,25261286,6,4.73,3768213
citrobacter-freundii_CAV1741,npScarf,25330499,6,4.75,3768213
citrobacter-freundii_CAV1741,npScarf,25402032,6,4.76,3768213
citrobacter-freundii_CAV1741,npScarf,25566060,6,4.79,3768213
citrobacter-freundii_CAV1741,npScarf,25698665,6,4.82,3768213
citrobacter-freundii_CAV1741,npScarf,25745343,6,4.82,3768213
citrobacter-freundii_CAV1741,npScarf,25832366,6,4.84,3768213
citrobacter-freundii_CAV1741,npScarf,25878516,6,4.85,3768213
citrobacter-freundii_CAV1741,npScarf,25998360,6,4.87,3768213
citrobacter-freundii_CAV1741,npScarf,26135179,5,4.9,5010906
citrobacter-freundii_CAV1741,npScarf,26292164,5,4.93,5010906
citrobacter-freundii_CAV1741,npScarf,26388128,5,4.95,5010906
citrobacter-freundii_CAV1741,npScarf,26458413,5,4.96,5010906
citrobacter-freundii_CAV1741,npScarf,26604550,5,4.99,5010906
citrobacter-freundii_CAV1741,npScarf,26725255,5,5.01,5010906
citrobacter-freundii_CAV1741,npScarf,26850572,5,5.03,5010906
citrobacter-freundii_CAV1741,npScarf,26962395,5,5.05,5010906
citrobacter-freundii_CAV1741,npScarf,27109989,5,5.08,5010906
citrobacter-freundii_CAV1741,npScarf,27235724,5,5.1,5010906
citrobacter-freundii_CAV1741,npScarf,27235724,5,5.1,5010906
citrobacter-freundii_CAV1741,npScarf,27368227,5,5.13,5010906
citrobacter-freundii_CAV1741,npScarf,27432986,5,5.14,5010906
citrobacter-freundii_CAV1741,npScarf,27601005,5,5.17,5010906
citrobacter-freundii_CAV1741,npScarf,27658855,5,5.18,5010906
citrobacter-freundii_CAV1741,npScarf,27782444,5,5.21,5010907
citrobacter-freundii_CAV1741,npScarf,27859148,5,5.22,5010907
citrobacter-freundii_CAV1741,npScarf,27960670,5,5.24,5010907
citrobacter-freundii_CAV1741,npScarf,28059463,5,5.26,5010907
citrobacter-freundii_CAV1741,npScarf,28158439,5,5.28,5010907
citrobacter-freundii_CAV1741,npScarf,28287661,5,5.3,5010907
citrobacter-freundii_CAV1741,npScarf,28411708,5,5.32,5010907
citrobacter-freundii_CAV1741,npScarf,28568679,5,5.35,5010907
citrobacter-freundii_CAV1741,npScarf,28756359,5,5.39,5010907
citrobacter-freundii_CAV1741,npScarf,28781478,5,5.39,5010907
citrobacter-freundii_CAV1741,npScarf,28925028,5,5.42,5010907
citrobacter-freundii_CAV1741,npScarf,29018476,5,5.44,5010907
citrobacter-freundii_CAV1741,npScarf,29107417,5,5.45,5010907
citrobacter-freundii_CAV1741,npScarf,29141333,5,5.46,5010907
citrobacter-freundii_CAV1741,npScarf,29263986,5,5.48,5010907
citrobacter-freundii_CAV1741,npScarf,29351975,5,5.5,5013097
citrobacter-freundii_CAV1741,npScarf,29373318,5,5.5,5013097
citrobacter-freundii_CAV1741,npScarf,29471026,5,5.52,5013097
citrobacter-freundii_CAV1741,npScarf,29608566,5,5.55,5013097
citrobacter-freundii_CAV1741,npScarf,29675438,5,5.56,5013097
citrobacter-freundii_CAV1741,npScarf,29753345,5,5.58,5013097
citrobacter-freundii_CAV1741,npScarf,29838658,5,5.59,5013097
citrobacter-freundii_CAV1741,npScarf,29987595,5,5.62,5013097
citrobacter-freundii_CAV1741,npScarf,30091886,5,5.64,5013097
citrobacter-freundii_CAV1741,npScarf,30144356,5,5.65,5013097
citrobacter-freundii_CAV1741,npScarf,30269330,5,5.67,5013097
citrobacter-freundii_CAV1741,npScarf,30502821,5,5.72,5013097
citrobacter-freundii_CAV1741,npScarf,30576451,5,5.73,5013097
citrobacter-freundii_CAV1741,npScarf,30643155,5,5.74,5013097
citrobacter-freundii_CAV1741,npScarf,30821663,5,5.78,5013097
citrobacter-freundii_CAV1741,npScarf,30855191,5,5.78,5013097
citrobacter-freundii_CAV1741,npScarf,30953181,5,5.8,5013097
citrobacter-freundii_CAV1741,npScarf,31097125,5,5.83,5013097
citrobacter-freundii_CAV1741,npScarf,31145034,5,5.84,5013097
citrobacter-freundii_CAV1741,npScarf,31263338,5,5.86,5013097
citrobacter-freundii_CAV1741,npScarf,31306422,5,5.87,5013097
citrobacter-freundii_CAV1741,npScarf,31420926,5,5.89,5013097
citrobacter-freundii_CAV1741,npScarf,31551846,5,5.91,5013097
citrobacter-freundii_CAV1741,npScarf,31705048,5,5.94,5013097
citrobacter-freundii_CAV1741,npScarf,31859762,5,5.97,5013097
citrobacter-freundii_CAV1741,npScarf,31917312,5,5.98,5013097
citrobacter-freundii_CAV1741,npScarf,32003648,5,6,5013097
citrobacter-freundii_CAV1741,npScarf,32115327,5,6.02,5013097
