Bases	Contigs	Depth	N50
89524398	1	19.50	4640951
89609695	1	19.51	4640951
89703164	1	19.53	4640951
89752556	1	19.55	4640951
89987872	1	19.60	4640951
90132097	1	19.63	4640951
90243851	1	19.65	4640951
90243851	1	19.65	4640951
90405570	1	19.69	4640951
90492273	1	19.71	4640951
90635882	1	19.74	4640951
90824991	1	19.78	4640951
90889166	1	19.79	4640951
90921567	1	19.80	4640951
90969058	1	19.81	4640951
91140791	1	19.85	4640951
91288881	1	19.88	4640951
91358902	1	19.90	4640951
91441550	1	19.91	4640951
91574041	1	19.94	4640951
91659479	1	19.96	4640951
91843130	1	20.00	4640951
91932992	1	20.02	4640951
91950088	1	20.02	4640951
92109175	1	20.06	4640951
92196357	1	20.08	4640951
92232048	1	20.09	4640951
92359976	1	20.11	4640951
92531233	1	20.15	4640951
92553380	1	20.16	4640951
92695406	1	20.19	4640951
92857409	1	20.22	4640951
93047313	1	20.26	4640951
93202010	1	20.30	4640951
93278817	1	20.31	4640951
93360986	1	20.33	4640951
93520059	1	20.37	4640951
93622421	1	20.39	4640951
93746736	1	20.42	4640951
93769001	1	20.42	4640951
93953710	1	20.46	4640951
94082876	1	20.49	4640951
94220823	1	20.52	4640951
94299270	1	20.54	4640951
94475284	1	20.57	4640951
94505809	1	20.58	4640951
94659116	1	20.61	4640951
94755378	1	20.63	4640951
94914152	1	20.67	4640951
95066954	1	20.70	4640951
95118010	1	20.71	4640951
95361702	1	20.77	4640951
95400106	1	20.78	4640951
95403854	1	20.78	4640951
95612115	1	20.82	4640951
95702087	1	20.84	4640951
95946093	1	20.89	4640951
96062739	1	20.92	4640951
96181320	1	20.95	4640951
96315744	1	20.97	4640951
96470697	1	21.01	4640951
96472995	1	21.01	4640951
96541542	1	21.02	4640951
96695368	1	21.06	4640951
96800820	1	21.08	4640951
96832031	1	21.09	4640951
97009102	1	21.13	4640951
97181399	1	21.16	4640951
97282535	1	21.19	4640951
97423978	1	21.22	4640951
97564759	1	21.25	4640951
97634111	1	21.26	4640951
97691381	1	21.27	4640951
97729104	1	21.28	4640951
97785956	1	21.29	4640951
97980928	1	21.34	4640951
98068443	1	21.36	4640951
98116143	1	21.37	4640951
98212825	1	21.39	4640951
98382718	1	21.42	4640951
98534116	1	21.46	4640951
98648292	1	21.48	4640951
98802167	1	21.52	4640951
98858775	1	21.53	4640951
98887940	1	21.53	4640951
98999325	1	21.56	4640951
99099611	1	21.58	4640951
99253407	1	21.61	4640951
99335093	1	21.63	4640951
99513407	1	21.67	4640951
99633816	1	21.70	4640951
99657141	1	21.70	4640951
99832745	1	21.74	4640951
99937883	1	21.76	4640951
100026075	1	21.78	4640951
100184205	1	21.82	4640951
100275098	1	21.84	4640951
100399981	1	21.86	4640951
100477481	1	21.88	4640951
100650830	1	21.92	4640951
100746651	1	21.94	4640951
100906375	1	21.97	4640951
100953466	1	21.98	4640951
101080355	1	22.01	4640951
